,Aguas-A,CAP,CCU,CMPC,COLBUN,ConchaToro,ECL,LTM,SQM,Vapores,IGPA,BCP 10
2/1/2012,-0.009931536,0.001067949,0.115322163,0.075180056,0.085123451,0.009196743,-0.047841905,0.065069723,-0.00689906,0.129672746,0.052017533,0.004308464
3/1/2012,-0.028382591,-0.152371426,0.07112596,-0.008284712,-0.004994413,0.058119063,-0.000962658,0.092119586,0.004187554,-0.294083154,0.030200855,0.004698974
4/1/2012,0.094313199,-0.020076086,-0.078626455,-0.077423021,-0.061045549,-0.089122016,-0.037668829,-0.046602978,-0.013915369,-0.115598753,-0.012734032,0.004726988
5/1/2012,-0.0276076,-0.091916359,-0.03473907,-0.030540811,-0.005705362,-0.120586046,-0.060509065,-0.039352057,-0.048216346,-0.076961041,-0.05258972,0.004479379
6/1/2012,0.033095837,0.003032745,-0.070225664,0.038015127,0.001475471,0.09407788,-0.0037628,-0.002014414,0.037985093,0.122395796,0.013234891,0.004355288
7/1/2012,0.024887271,-0.051832032,0.015517565,-0.094442959,-0.034499109,-0.036267263,-0.087824533,-0.097182464,0.036145285,-0.013872502,-0.030433669,0.00423967
8/1/2012,-0.011240786,-0.074085985,-0.017543153,-0.018379168,0.014582211,-0.005490993,0.067720269,-0.047094822,0.022230381,-0.109866478,-0.013369577,0.00432592
9/1/2012,0.012519026,0.021586999,0.077760241,0.050295465,-0.01725652,0.056248425,-0.007493145,0.055106936,-0.011242935,-0.105659246,0.018422841,0.004354584
10/1/2012,0.017780448,0.011478177,0.032322959,-0.019136746,0.004008787,-0.018532176,0.015257042,-0.011117222,-0.04684667,-0.030640953,0.017340004,0.004397184
11/1/2012,0.031842471,-0.102166648,-0.025732782,-0.138954945,-0.081122862,-0.062962278,-0.054065826,-0.114866356,-0.106362676,-0.166550095,-0.028476916,0.004452822
12/1/2012,0.006164565,0.016263095,0.076353146,0.017116819,0.012116382,-6.80369E-05,0.008839924,0.059196989,0.027907707,0.013015368,0.036068443,0.004478536
1/1/2013,0.018732986,0.090138523,0.019782568,0.032668657,0.11844055,0.013059534,-0.009741494,0.034849232,-0.024167978,0.187754568,0.0507696,0.004564644
2/1/2013,0.093161447,-0.023815669,0.007409723,-0.000935415,-0.00018134,0.042957437,-0.039391573,-0.032186339,-0.02278917,0.018581865,0.002357417,0.004606386
3/1/2013,0.000375657,-0.106981635,0.020441306,-0.06030695,-0.02981999,-0.033599456,-0.062467395,-0.100242257,-0.005231469,-0.095924044,-0.023755696,0.004551259
4/1/2013,-0.013470604,-0.01080453,0.051868373,-0.000811456,0.00503216,-0.031288239,-0.018125056,-0.047591882,-0.115087879,-0.129633289,-0.028691922,0.004297817
5/1/2013,0.023374451,-0.18614976,-0.19232841,-0.028946808,-0.018955245,0.083208058,-0.037716745,-0.08028597,0.007630046,-0.053396142,-0.019305753,0.004206837
6/1/2013,-0.030346115,-0.092224583,0.082684321,-0.052378733,-0.062746519,-0.003670286,-0.077318298,-0.040745264,-0.125160007,-0.16691364,-0.040474118,0.00429369
7/1/2013,0.017103367,-0.19791411,-0.049289967,-0.023991645,0.002417894,-0.060297388,-0.071164451,-0.215825082,-0.328319168,-0.210557638,-0.074347123,0.004308722
8/1/2013,-0.037629818,0.166792124,-0.015612579,-0.011687197,-0.017049327,-0.002791659,-0.182408038,-0.082284492,-0.11389703,-0.085834093,-0.024392558,0.004288885
9/1/2013,-0.011659788,0.022712276,-0.003340016,0.021191885,-0.007603037,0.028123608,0.051739672,0.176158248,0.148593285,0.097038692,0.045628171,0.004286013
10/1/2013,-0.006354271,-0.033795636,0.024116607,-0.009363216,-0.024218303,-0.018968657,0.130344024,0.106698816,-0.062276519,-0.087264638,0.021445934,0.004201169
11/1/2013,0.007442356,-0.056507305,-0.056208106,-0.089469878,-0.041420934,0.06732229,-0.133222493,0.020808324,-0.074592335,0.059014171,-0.033943415,0.004045907
12/1/2013,-0.025584013,-0.008137188,-0.031229498,-0.073259705,-0.017554056,-0.010893464,-0.029440622,-0.040329127,0.031661568,0.085625508,-0.020247299,0.00418477
1/1/2014,0.062701676,-0.20123887,-0.051943711,-0.091117937,0.015790387,0.014440231,-0.007983777,-0.069213525,0.040416056,-0.197053422,-0.062480661,0.004119489
2/1/2014,-0.037711017,0.074822353,0.065323586,0.13627555,0.069051711,0.092319419,0.095848304,0.115528704,0.201494784,0.180076887,0.068811579,0.004074124
3/1/2014,-0.005654496,0.015048456,-0.026112689,-0.067886103,0.034409385,0.031739462,-0.005531009,-0.038135113,0.019177981,-0.008058061,0.011370652,0.004089034
4/1/2014,0.027183853,-0.041363395,0.093786955,0.008721001,0.039595616,0.056099478,-0.029289138,0.035297319,0.037387692,0.002155173,0.033606401,0.004005853
5/1/2014,0.05637283,-0.064132611,-0.021837181,-0.050637156,-0.026353007,-0.047186557,0.031142707,-0.080560958,-0.077509884,-0.042887276,-0.00436881,0.004041959
6/1/2014,-0.021926037,-0.011046085,-0.00240274,0.011399562,0.017902794,-0.008087361,0.024131432,-0.066239684,-0.027995665,-0.145480509,-0.010690871,0.003959651
7/1/2014,0.034565441,-0.000262287,-0.003874551,0.0601501,0.062426843,-0.000979739,0.072984665,-0.09789274,0.01226724,0.154985753,0.002428283,0.003804743
8/1/2014,0.027757903,-0.10182017,-0.017370733,0.13624507,0.046379994,0.02937829,0.075886671,0.080562246,0.018889995,-0.043794317,0.024862762,0.003548581
9/1/2014,-0.068939514,-0.103005286,0.036007546,-0.037591919,-0.007640252,0.018742437,0.000639255,-0.064309821,-0.0418161,-0.105360516,-0.008886718,0.003747028
10/1/2014,0.002351172,-0.128320831,-0.083528619,0.002692496,0.018479068,-0.056326468,-8.1933E-05,0.008187238,-0.144941747,-0.034168896,-0.021432739,0.003781483
11/1/2014,0.050821153,-0.28037872,0.042707348,0.070903135,0.037283915,0.078929936,0.008615257,0.049732867,0.135753816,0.103420132,0.032122413,0.003628062
12/1/2014,-0.038451401,-0.442647529,-0.096391267,0.001112637,-0.005123555,-0.007788073,0.032354212,-0.028675227,-0.025875015,-0.012128711,-0.030654489,0.003565251
1/1/2015,0.050608796,-0.5278232,0.021041437,0.03570406,0.073918583,-0.036202953,0.111501276,-0.055248463,0.026170874,-0.068165183,-0.005798319,0.003421631
2/1/2015,0.011575523,0.489441191,0.009611787,0.021372783,0.006289811,0.072777414,0.030566133,-0.017186069,0.047683083,0.177301356,0.031291969,0.003436957
3/1/2015,-0.004544072,-0.16652413,0.102996324,0.062563622,0.061532785,0.046738889,-0.041359462,-0.248728392,-0.336195692,-0.040753616,-0.013879568,0.003548483
4/1/2015,-0.010079089,0.036008436,0.040701848,0.004859642,0.005306574,-0.0310985,0.016489431,0.133145743,0.167793353,-0.043675064,0.02761244,0.003668831
5/1/2015,0.014710345,0.120683802,0.047279021,0.056689968,0.000857878,-0.031894045,-0.081142688,-0.112057055,-0.105016037,-0.018018506,0.001876932,0.003719752
6/1/2015,0.027006587,-0.116703804,-0.028337402,-0.043143714,-0.017735307,-0.068671535,-0.044235923,-0.138322995,-0.147717541,-0.116193391,-0.035421813,0.003797359
7/1/2015,-0.019450532,-0.176330796,0.048141046,0.032351547,-0.010970636,-0.0386174,0.053538738,-0.071678422,-0.118576991,-0.027606998,-0.007637937,0.003715575
8/1/2015,0.006468328,-0.070370411,0.0754587,0.053638334,0.044726701,0.081139024,0.05984885,-0.089773488,0.168530944,-0.030552998,-0.004104833,0.003686347
9/1/2015,0.008346758,0.080209526,-0.000246465,-0.054459243,-0.048115286,-0.00495337,-0.004014959,-0.148711052,-0.077700326,0.061557893,-0.038043758,0.003760705
10/1/2015,0.004465717,0.012063633,0.077704682,-0.048265291,0.022472856,0.019319371,0.041012466,0.100121996,0.279661337,-0.196533329,0.040968083,0.003647744
11/1/2015,-0.028975056,0.025759549,-0.043875511,-0.136896531,-0.04244669,-0.10628038,-0.04223576,0.033936862,-0.116955002,-0.134121398,-0.042569368,0.003727619
12/1/2015,0.028677961,-0.090323723,-0.012598345,0.026712367,-0.038365914,0.006456475,0.013276314,-0.026330975,0.136175999,-0.075489037,0.006864817,0.00377578
1/1/2016,0.002416638,-0.153393694,-0.005663903,0.05707154,0.074443156,0.063147453,0.016492922,-0.018823057,-0.155017836,-0.014359221,0.005053458,0.003725686
2/1/2016,0.011954514,0.135732298,-0.12273671,-0.01293734,0.000290402,0.029204205,0.07164379,0.080708015,0.087087489,0.017409554,0.000862403,0.00363187
3/1/2016,0.055583422,0.161950896,0.098848659,-0.022016905,0.033407818,0.003362214,0.039884288,0.170895398,0.104962201,-0.00508907,0.055262443,0.00362661
4/1/2016,3.95797E-05,0.183033289,-0.006477891,-0.056998759,-0.047295915,-0.04889931,0.045086633,0.004248782,0.021982893,0.018200705,0.018407376,0.003588783
5/1/2016,0.029674842,-0.090162132,0.015362536,-0.016713031,-0.049489658,0.04173845,0.018353005,-0.115342884,0.103731951,-0.057748002,-0.012195576,0.003676284
6/1/2016,-0.000422727,0.047584269,0.029609187,-0.046116455,-0.041692443,-0.085340341,0.005689982,0.041314722,0.075913822,0.005293819,0.01577043,0.003711211
7/1/2016,0.041522856,0.234803356,-0.032486276,-0.003492293,0.001933302,0.077751732,0.075453035,0.265693307,-0.005334637,-0.101028717,0.032074872,0.003600187
8/1/2016,0.030325713,0.175668119,-0.040817529,-0.013861058,-0.11772268,0.00035521,-0.052661942,-0.054005968,0.06541497,-0.122907123,0.002979579,0.003505857
